date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:07	104477/104477	---M-Z	404	error ('Not%20Found')	text/html	etag:%224923f58cdf69d57796ae3872a853f639%22	https://bytex.in/&apos;data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20xmlns%3Axlink%3D%22http%3A%2F%2Fwww.w3.org%2F1999%2Fxlink%22%20viewBox%3D%220%200%2034%2041%22%3E%3Cg%20transform%3D%22translate(-0.008%200	D:/sett2/bytextechsolutions.framer.website/&apos;data_image/svg+xml;utf8,_svg%20xmlns=_http_/www.w3.org/2000/svg_%20xmlns_xlink=_http_/www.w3.org/1999/xlink_%20viewBox=_0%200%2034%2041___g%20transform=_translate(-0.8.delayed	(from https://bytex.in/)
18:54:08	10984/10984	---MC-	200	added ('OK')	image/png	etag:%222e8d46925ab7af72d88d897d9817c380%22	https://framerusercontent.com/images/w22DFJW1RbwnuCD0x9DuyP1I.png	D:/sett2/framerusercontent.com/images/w22DFJW1RbwnuCD0x9DuyP1I.png	(from https://bytex.in/)
18:54:08	19089/19089	---MC-	200	added ('OK')	image/png	etag:%225910f260157dd5d31bc8a869ea27c36f%22	https://framerusercontent.com/images/ukJ357hzoPDn569KTflJQSrZ5Q.png	D:/sett2/framerusercontent.com/images/ukJ357hzoPDn569KTflJQSrZ5Q.png	(from https://bytex.in/)
18:54:08	5627/5627	---MC-	200	added ('OK')	image/png	etag:%22ced654d95728d73354bbebd2f034cce2%22	https://framerusercontent.com/images/hSODdhNfwvaZtNrz01EesPrRmI0.png	D:/sett2/framerusercontent.com/images/hSODdhNfwvaZtNrz01EesPrRmI0.png	(from https://bytex.in/)
18:54:11	842560/842560	---MC-	200	added ('OK')	image/png	etag:%228f94051b1c451de262d8fff7bf392fe2%22	https://framerusercontent.com/images/w9wvgyK0sto9pKaCXe2yvGH11G8.png	D:/sett2/framerusercontent.com/images/w9wvgyK0sto9pKaCXe2yvGH11G8.png	(from https://bytex.in/)
18:54:11	53302/53302	---MC-	200	added ('OK')	image/jpeg	etag:%2208a1873fbf97fe05d12d6644493c8954%22	https://framerusercontent.com/images/HIWWMcfeYphoogfCqfcxJbDk4.jpg	D:/sett2/framerusercontent.com/images/HIWWMcfeYphoogfCqfcxJbDk4.jpg	(from https://bytex.in/)
18:54:13	669740/669740	---MC-	200	added ('OK')	image/png	etag:%22d9810721258ad7715dae1776bcdca871%22	https://framerusercontent.com/images/DdjSZvORKSi8d1A9Vj2iLPX30U.png	D:/sett2/framerusercontent.com/images/DdjSZvORKSi8d1A9Vj2iLPX30U.png	(from https://bytex.in/)
18:54:13	297011/297011	---M-Z	200	added ('OK')	text/html	etag:%223569f9e905fb8b5ffe30337768bc3655%22	https://bytex.in/Work/AppProject1	D:/sett2/bytextechsolutions.framer.website/Work/AppProject1.html	(from https://bytex.in/)
18:54:15	297791/297791	---M-Z	200	added ('OK')	text/html	etag:%227c33ad9e0de5653826435d93596b9ba0%22	https://bytex.in/Work/AppProject2	D:/sett2/bytextechsolutions.framer.website/Work/AppProject2.html	(from https://bytex.in/)
18:54:16	1035429/1035429	---MC-	200	added ('OK')	image/png	etag:%22cdddd4f6c404745591d2555318372bc4%22	https://framerusercontent.com/images/KYo5p4sqCaCxs9fL2H6hnGrUc4.png	D:/sett2/framerusercontent.com/images/KYo5p4sqCaCxs9fL2H6hnGrUc4.png	(from https://bytex.in/)
18:54:16	285540/285540	---M-Z	200	added ('OK')	text/html	etag:%2272b406a6d884f9e709da5dc8a319ea7f%22	https://bytex.in/Work/DesktopProject1	D:/sett2/bytextechsolutions.framer.website/Work/DesktopProject1.html	(from https://bytex.in/)
18:54:17	284415/284415	---M-Z	200	added ('OK')	text/html	etag:%224ca86c282851aa66cfb031bcfaea62a2%22	https://bytex.in/Work/DesktopProject2	D:/sett2/bytextechsolutions.framer.website/Work/DesktopProject2.html	(from https://bytex.in/)
18:54:17	113726/113726	---MC-	200	added ('OK')	image/png	etag:%22a6d17ff0ba662f8b5b92b6fc4281d0ed%22	https://framerusercontent.com/images/dIWI8EpGIpYMYnF8VAPPWR6ENfg.png	D:/sett2/framerusercontent.com/images/dIWI8EpGIpYMYnF8VAPPWR6ENfg.png	(from https://bytex.in/Contact)
18:54:18	8562/8562	---MC-	200	added ('OK')	image/png	etag:%22ffebb7b5210bdc5f60c02c32b7b1fbbd%22	https://framerusercontent.com/images/w4329CgFFB09YVSe3puVn8k7DVI.png	D:/sett2/framerusercontent.com/images/w4329CgFFB09YVSe3puVn8k7DVI.png	(from https://bytex.in/Work/AppProject1)
18:54:18	9421/9421	---MC-	200	added ('OK')	image/png	etag:%225ee5a9e4bf43a65eaf75581c1b962743%22	https://framerusercontent.com/images/vsSslEzH3v78tWWYnz611lCXs.png	D:/sett2/framerusercontent.com/images/vsSslEzH3v78tWWYnz611lCXs.png	(from https://bytex.in/Work/AppProject1)
18:54:18	13162/13162	---MC-	200	added ('OK')	image/png	etag:%220ca68f314d8533c268467cd27caa8349%22	https://framerusercontent.com/images/ldLnGwx0m3aSO8PEXch5pfkU4.png	D:/sett2/framerusercontent.com/images/ldLnGwx0m3aSO8PEXch5pfkU4.png	(from https://bytex.in/Work/AppProject2)
18:54:19	10314/10314	---MC-	200	added ('OK')	image/png	etag:%223f925642abe3088859dc18f2274de28e%22	https://framerusercontent.com/images/OSgPJ04xPObonqzYoNGpRlN9Y.png	D:/sett2/framerusercontent.com/images/OSgPJ04xPObonqzYoNGpRlN9Y.png	(from https://bytex.in/Work/AppProject2)
18:54:19	13020/13020	---MC-	200	added ('OK')	image/png	etag:%22087ed856725f8090d20ac32c34a0e69e%22	https://framerusercontent.com/images/kOtTGqyiv8q2WqVS9tNhi67E9S0.png	D:/sett2/framerusercontent.com/images/kOtTGqyiv8q2WqVS9tNhi67E9S0.png	(from https://bytex.in/Work/AppProject2)
18:54:23	273580/273580	---MC-	200	added ('OK')	image/png	etag:%224413b0137aa0e7736050f315dc30f007%22	https://framerusercontent.com/images/1trytjAEg0gM90EjYoYo43iRAkg.png	D:/sett2/framerusercontent.com/images/1trytjAEg0gM90EjYoYo43iRAkg.png	(from https://bytex.in/Work/DesktopProject1)
18:54:23	144841/144841	---MC-	200	added ('OK')	image/png	etag:%220bc9b8708b50f686a3eef3702bed3408%22	https://framerusercontent.com/images/vl4R4ex0nCR81NZIXOB9f1ZiIzw.png	D:/sett2/framerusercontent.com/images/vl4R4ex0nCR81NZIXOB9f1ZiIzw.png	(from https://bytex.in/Work/DesktopProject1)
18:54:24	232283/232283	---MC-	200	added ('OK')	image/png	etag:%2289a08e0cc5adfcca4c5755d2147399fa%22	https://framerusercontent.com/images/fAkzMbVN1ywNM3Z9n3sSVLwKMs.png	D:/sett2/framerusercontent.com/images/fAkzMbVN1ywNM3Z9n3sSVLwKMs.png	(from https://bytex.in/Work/DesktopProject2)
